Increased	VBN	increase O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
asbestos-exposed	JJ	asbestos-exposed O TermTag
rats	NNS	rat O TermTag
and	CC	and O TermTag
mice	NNS	mouse O TermTag
:	:	: : NUPOS
reduced	VBN	reduce O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
receptor	NN	receptor O TermTag
knockout	NN	knockout O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Inhalation	NN	inhalation O TermTag
of	IN	of O TermTag
numerous	JJ	numerous O TermTag
fibrogenic	JJ	fibrogenic O TermTag
agents	NNS	agent O TermTag
causes	VBZ	cause O TermTag
interstitial	JJ	interstitial O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
humans	NNS	human O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
number	NN	number O TermTag
of	IN	of O TermTag
animal	NN	animal O TermTag
models	NNS	model O TermTag
.	.	. . NUPOS

Several	JJ	several O TermTag
of	IN	of O TermTag
these	DT	these O TermTag
models	NNS	model O TermTag
provide	VBP	provide O TermTag
evidence	NN	evidence O TermTag
that	IN	that O TermTag
certain	JJ	certain O TermTag
peptide	NN	peptide O TermTag
growth	NN	growth O TermTag
factors	NNS	factor O TermTag
(	(	( ( NUPOS
GF	NN	GF O TermTag
)	)	) ) NUPOS
are	VBP	be O TermTag
playing	VBG	play O TermTag
a	DT	a dt NUPOS
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
disease	NN	disease O TermTag
process	NN	process O TermTag
.	.	. . NUPOS

Transforming-growth-factor-beta-1	NN	Transforming-growth-factor-beta-1 GENE TermTag
(	(	( ( NUPOS
TGF-beta1	NN	TGF-beta1 GENE TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
potent	JJ	potent O TermTag
inducer	NN	inducer O TermTag
of	IN	of O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
production	NN	production O TermTag
by	IN	by O TermTag
mesenchymal	JJ	mesenchymal O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
we	PRP	we O TermTag
have	VBP	have O TermTag
shown	VBN	show O TermTag
that	IN	that O TermTag
this	DT	this O TermTag
peptide	NN	peptide O TermTag
is	VBZ	be O TermTag
produced	VBN	produce O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
after	IN	after O TermTag
asbestos	NN	asbestos O TermTag
exposure	NN	exposure O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
used	VBD	use O TermTag
in	FW	in O TermTag
situ	FW	situ O TermTag
hybridization	NN	hybridization O TermTag
to	TO	to O TermTag
demonstrate	VB	demonstrate O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
mRNA	NN	mRNA O TermTag
for	IN	for O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
is	VBZ	be O TermTag
rapidly	RB	rapid O TermTag
expressed	VBN	express O TermTag
post-exposure	JJ	post-exposure O TermTag
at	IN	at O TermTag
sites	NNS	site O TermTag
of	IN	of O TermTag
initial	JJ	initial O TermTag
asbestos-induced	JJ	asbestos-induced O TermTag
lung	NN	lung O TermTag
injury	NN	injury O TermTag
in	IN	in O TermTag
both	CC	both O TermTag
rats	NNS	rat O TermTag
and	CC	and O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
is	VBZ	be O TermTag
expressed	VBN	express O TermTag
by	IN	by O TermTag
bronchiolar-alveolar	JJ	bronchiolar-alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
by	IN	by O TermTag
mesenchymal	JJ	mesenchymal O TermTag
cells	NNS	cell O TermTag
and	CC	and O TermTag
lung	NN	lung O TermTag
macrophages	NNS	macrophage O TermTag
in	IN	in O TermTag
exposed	VBN	expose O TermTag
animals	NNS	animal O TermTag
.	.	. . NUPOS

Normal	JJ	normal O TermTag
rats	NNS	rat O TermTag
and	CC	and O TermTag
mice	NNS	mouse O TermTag
express	VBP	express O TermTag
little	JJ	little O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
,	,	, , NUPOS
as	IN	as O TermTag
we	PRP	we O TermTag
have	VBP	have O TermTag
demonstrated	VBN	demonstrate O TermTag
previously	RB	previous O TermTag
for	IN	for O TermTag
PDGF-A-and	NN	PDGF-A-and O TermTag
--	:	-- O TermTag
B	NN	b NN PennPOS
,	,	, , NUPOS
TGF-alpha	NN	TGF-alpha GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
.	.	. . NUPOS

TGF-beta1	NN	TGF-beta1 GENE TermTag
expression	NN	expression O TermTag
is	VBZ	be O TermTag
accompanied	VBN	accompany O TermTag
by	IN	by O TermTag
collagen	NN	collagen O TermTag
and	CC	and O TermTag
fibronectin	NN	fibronectin GENE TermTag
production	NN	production O TermTag
in	IN	in O TermTag
asbestos-exposed	JJ	asbestos-exposed O TermTag
animals	NNS	animal O TermTag
.	.	. . NUPOS

Most	JJS	many O TermTag
interesting	JJ	interesting O TermTag
,	,	, , NUPOS
TGF-beta1	NN	TGF-beta1 GENE TermTag
expression	NN	expression O TermTag
is	VBZ	be O TermTag
largely	RB	large O TermTag
absent	JJ	absent O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
receptor	NN	receptor O TermTag
knockout	NN	knockout O TermTag
mice	NNS	mouse O TermTag
that	WDT	that O TermTag
fail	VBP	fail O TermTag
to	TO	to O TermTag
develop	VB	develop O TermTag
asbestos-induced	JJ	asbestos-induced O TermTag
IPE	NNP	IPE O TermTag
We	PRP	we O TermTag
have	VBP	have O TermTag
shown	VBN	show O TermTag
previously	RB	previous O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
mRNAs	NNS	mrna O TermTag
and	CC	and O TermTag
cognate	JJ	cognate O TermTag
peptides	NNS	peptide O TermTag
of	IN	of O TermTag
PDGF-A-and	NN	PDGF-A-and O TermTag
--	:	-- O TermTag
B	NN	b NN PennPOS
and	CC	and O TermTag
TGF-alpha	NN	TGF-alpha GENE TermTag
,	,	, , NUPOS
but	CC	but O TermTag
not	RB	not O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
,	,	, , NUPOS
are	VBP	be O TermTag
reduced	VBN	reduce O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
fibrosis-resistant	JJ	fibrosis-resistant O TermTag
knockout	NN	knockout O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
this	DT	this O TermTag
article	NN	article O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
show	VBP	show O TermTag
that	IN	that O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
is	VBZ	be O TermTag
included	VBN	include O TermTag
in	IN	in O TermTag
this	DT	this O TermTag
group	NN	group O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
,	,	, , NUPOS
supporting	VBG	support O TermTag
the	DT	the O TermTag
postulate	VBP	postulate O TermTag
that	IN	that O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
is	VBZ	be O TermTag
necessary	JJ	necessary O TermTag
for	IN	for O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
other	JJ	other O TermTag
,	,	, , NUPOS
more	RBR	much O TermTag
downstream	JJ	downstream O TermTag
growth	NN	growth O TermTag
factors	NNS	factor O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
consequent	JJ	consequent O TermTag
development	NN	development O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

