MiR-185	NN	MiR-185 O TermTag
/	:	/ : NUPOS
AKT	NN	akt GENE TermTag
and	CC	and O TermTag
miR-29a	NN	miR-29a GENE TermTag
/	:	/ : NUPOS
collagen	NN	collagen O TermTag
1a	NN	1a O TermTag
pathways	NNS	pathway O TermTag
are	VBP	be O TermTag
activated	VBN	activate O TermTag
in	IN	in O TermTag
IPF	NNP	IPF O TermTag
BAL	NN	bal O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

MicroRNA	NN	MicroRNA O TermTag
signatures	NNS	signature O TermTag
of	IN	of O TermTag
BAL	NN	bal O TermTag
cells	NNS	cell O TermTag
and	CC	and O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
are	VBP	be O TermTag
currently	RB	current O TermTag
lacking	VBG	lack O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Here	RB	here O TermTag
we	PRP	we O TermTag
sought	VBD	seek O TermTag
to	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
fibrosis-related	JJ	fibrosis-related O TermTag
microRNAs	NNS	microrna O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
cellular	JJ	cellular O TermTag
component	NN	component O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
BAL	NN	bal O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
thus	RB	thus O TermTag
focused	VBD	focus O TermTag
on	IN	on O TermTag
microRNAs	NNS	microrna O TermTag
previously	RB	previous O TermTag
associated	VBN	associate O TermTag
with	IN	with O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
miR-29a	NN	miR-29a GENE TermTag
,	,	, , NUPOS
miR-29b	NN	miR-29b O TermTag
,	,	, , NUPOS
miR-29c	NN	miR-29c O TermTag
,	,	, , NUPOS
let-7d	NN	let-7d GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
miR-21	NN	miR-21 GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
rapid	JJ	rapid O TermTag
IPF	NN	IPF O TermTag
progression	NN	progression O TermTag
(	(	( ( NUPOS
miR-185	NN	miR-185 O TermTag
,	,	, , NUPOS
miR-210	NN	miR-210 O TermTag
,	,	, , NUPOS
miR-302c-3p	NN	miR-302c-3p O TermTag
miR-376c	NN	miR-376c O TermTag
and	CC	and O TermTag
miR-423-5p	NN	miR-423-5p O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Among	IN	among O TermTag
the	DT	the O TermTag
tested	VBN	test O TermTag
microRNAs	NNS	microrna O TermTag
miR-29a	NN	miR-29a GENE TermTag
and	CC	and O TermTag
miR-185	NN	miR-185 O TermTag
were	VBD	be O TermTag
found	VBN	find O TermTag
significantly	RB	significant O TermTag
downregulated	VBN	downregulate O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
while	IN	while O TermTag
miR-302c-3p	NN	miR-302c-3p O TermTag
and	CC	and O TermTag
miR-376c	NN	miR-376c O TermTag
were	VBD	be O TermTag
not	RB	not O TermTag
expressed	VBN	express O TermTag
by	IN	by O TermTag
BAL	NN	bal O TermTag
