Transgelin	NNP	transgelin O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
direct	JJ	direct O TermTag
target	NN	target O TermTag
of	IN	of O TermTag
TGF-beta/Smad3-dependent	JJ	TGF-beta/Smad3-dependent O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
migration	NN	migration O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Enhanced	VBN	enhance O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
beta	NN	beta O TermTag
signaling	NN	signaling O TermTag
contributes	VBZ	contribute O TermTag
to	TO	to O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
progressive	JJ	progressive O TermTag
and	CC	and O TermTag
fatal	JJ	fatal O TermTag
disease	NN	disease O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
(	(	( ( NUPOS
ATII	NN	ATII O TermTag
)	)	) ) NUPOS
cell	NN	cell O TermTag
hyperplasia	NN	hyperplasia O TermTag
,	,	, , NUPOS
(	(	( ( NUPOS
myo	NN	Myo O TermTag
)	)	) ) NUPOS
fibroblast	NN	fibroblast O TermTag
accumulation	NN	accumulation O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
excessive	JJ	excessive O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
deposition	NN	deposition O TermTag
.	.	. . NUPOS

TGF-beta	NN	TGF-beta GENE TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
potent	JJ	potent O TermTag
inducer	NN	inducer O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
it	PRP	it O TermTag
regulates	VBZ	regulate O TermTag
the	DT	the O TermTag
ATII	NN	ATII O TermTag
cell	NN	cell O TermTag
phenotype	NN	phenotype O TermTag
;	:	; : NUPOS
however	RB	however O TermTag
,	,	, , NUPOS
direct	JJ	direct O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
target	NN	target O TermTag
genes	NNS	gene O TermTag
controlling	VBG	control O TermTag
the	DT	the O TermTag
ATII	NN	ATII O TermTag
cell	NN	cell O TermTag
phenotype	NN	phenotype O TermTag
remain	VBP	remain O TermTag
elusive	JJ	elusive O TermTag
.	.	. . NUPOS

Here	RB	here O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
identified	VBD	identify O TermTag
the	DT	the O TermTag
transgelin	NN	transgelin GENE TermTag
(	(	( ( NUPOS
tagln	NN	TAGLN GENE TermTag
)	)	) ) NUPOS
gene	NN	gene O TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
novel	JJ	novel O TermTag
immediate	JJ	immediate O TermTag
target	NN	target O TermTag
of	IN	of O TermTag
TGF-beta/Smad3-dependent	JJ	TGF-beta/Smad3-dependent O TermTag
gene	NN	gene O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
ATII	NN	ATII O TermTag
cells	NNS	cell O TermTag
using	VBG	use O TermTag
a	DT	a dt NUPOS
Smad3	NN	Smad3 GENE TermTag
chromatin	NN	chromatin O TermTag
immunoprecipitation	NN	immunoprecipitation O TermTag
(	(	( ( NUPOS
ChIP	NN	chip O TermTag
)	)	) ) NUPOS
screen	NN	screen O TermTag
.	.	. . NUPOS

Direct	JJ	direct O TermTag
ChIP	NN	chip O TermTag
confirmed	VBD	confirm O TermTag
the	DT	the O TermTag
rapid	JJ	rapid O TermTag
and	CC	and O TermTag
specific	JJ	specific O TermTag
binding	NN	binding O TermTag
of	IN	of O TermTag
Smad3	NN	Smad3 GENE TermTag
to	TO	to O TermTag
the	DT	the O TermTag
tagln	NN	TAGLN GENE TermTag
promoter	NN	promoter O TermTag
.	.	. . NUPOS

Luciferase	NN	luciferase O TermTag
assays	NNS	assay O TermTag
demonstrated	VBD	demonstrate O TermTag
transactivation	NN	transactivation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
tagln	NN	TAGLN GENE TermTag
promoter	NN	promoter O TermTag
by	IN	by O TermTag
activin-like	JJ	activin-like O TermTag
kinase	NN	kinase O TermTag
(	(	( ( NUPOS
Alk	NN	ALK O TermTag
)	)	) ) NUPOS
5-mediated	JJ	5-mediated O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
signaling	NN	signaling O TermTag
.	.	. . NUPOS

TGF-beta	NN	TGF-beta GENE TermTag
treatment	NN	treatment O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
rapid	JJ	rapid O TermTag
up-regulation	NN	up-regulation O TermTag
of	IN	of O TermTag
tagln	NN	TAGLN GENE TermTag
,	,	, , NUPOS
but	CC	but O TermTag
not	RB	not O TermTag
tagln2	NN	tagln2 O TermTag
,	,	, , NUPOS
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
expression	NN	expression O TermTag
,	,	, , NUPOS
assessed	VBN	assess O TermTag
by	IN	by O TermTag
reverse	JJ	reverse O TermTag
transcription-polymerase	JJ	transcription-polymerase O TermTag
chain	NN	chain O TermTag
reaction	NN	reaction O TermTag
(	(	( ( NUPOS
RT-PCR	NN	rt-pcr O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
Western	NN	western O TermTag
blotting	NN	blotting O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
immunofluorescence	NN	immunofluorescence O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vivo	FW	vivo O TermTag
,	,	, , NUPOS
tagln	NN	TAGLN GENE TermTag
expression	NN	expression O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
ATII	NN	ATII O TermTag
cells	NNS	cell O TermTag
of	IN	of O TermTag
mice	NNS	mouse O TermTag
during	IN	during O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
specimen	NN	specimen O TermTag
obtained	VBN	obtain O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
,	,	, , NUPOS
as	IN	as O TermTag
assessed	VBN	assess O TermTag
by	IN	by O TermTag
RT-PCR	NN	rt-pcr O TermTag
and	CC	and O TermTag
immunohistochemistry	NN	immunohistochemistry O TermTag
.	.	. . NUPOS

Knockdown	NNP	knockdown O TermTag
of	IN	of O TermTag
tagln	NN	TAGLN GENE TermTag
using	VBG	use O TermTag
siRNA	NN	siRNA O TermTag
inhibited	VBD	inhibit O TermTag
TGF-beta-induced	JJ	tgf-beta-induced O TermTag
migration	NN	migration O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
epithelial	JJ	epithelial O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
primary	JJ	primary O TermTag
ATII	NN	ATII O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
thus	RB	thus O TermTag
identified	VBD	identify O TermTag
tagln	NN	TAGLN GENE TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
novel	JJ	novel O TermTag
target	NN	target O TermTag
of	IN	of O TermTag
TGF-beta/Smad3-dependent	JJ	TGF-beta/Smad3-dependent O TermTag
gene	NN	gene O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
ATII	NN	ATII O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Increased	VBN	increase O TermTag
ATII	NN	ATII O TermTag
cell	NN	cell O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
tagln	NN	TAGLN GENE TermTag
in	IN	in O TermTag
experimental	JJ	experimental O TermTag
and	CC	and O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
may	MD	may O TermTag
contribute	VB	contribute O TermTag
to	TO	to O TermTag
TGF-beta-dependent	JJ	tgf-beta-dependent O TermTag
ATII	NN	ATII O TermTag
cell	NN	cell O TermTag
injury	NN	injury O TermTag
,	,	, , NUPOS
repair	NN	repair O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
migration	NN	migration O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

